43	host	49.0	c108000000000100
52	49.0	host	00
57	host	49.0	<none>
82	host	49.0	c010000000001300
95	49.0	host	00000000000000000000000000000000000000
100	host	49.0	<none>
123	host	49.0	c108000000000100
132	49.0	host	00
135	host	49.0	<none>
150	host	49.0	c010000000001300
161	49.0	host	00000000000000000000000000000000000000
166	host	49.0	<none>
209	host	49.0	c108000000000100
218	49.0	host	00
221	host	49.0	<none>
233	host	49.0	c010000000001300
246	49.0	host	00000000000000000000000000000000000000
251	host	49.0	<none>
304	host	49.0	c108000000000100
311	49.0	host	00
316	host	49.0	<none>
327	host	49.0	c010000000001300
336	49.0	host	00000000000000000000000000000000000000
341	host	49.0	<none>
360	host	49.0	c108000000000100
367	49.0	host	00
372	host	49.0	<none>
385	host	49.0	c010000000001300
396	49.0	host	00000000000000000000000000000000000000
401	host	49.0	<none>
444	host	49.0	c108000000000100
451	49.0	host	00
456	host	49.0	<none>
465	host	49.0	c010000000001300
479	49.0	host	00000000000000000000000000000000000000
484	host	49.0	<none>
553	host	49.0	c108000000000100
560	49.0	host	00
565	host	49.0	<none>
578	host	49.0	c010000000001300
588	49.0	host	00000000000000000000000000000000000000
593	host	49.0	<none>
654	host	49.0	c108000000000100
661	49.0	host	00
666	host	49.0	<none>
675	host	49.0	c010000000001300
686	49.0	host	00000000000000000000000000000000000000
691	host	49.0	<none>
716	host	49.0	c108000000000100
723	49.0	host	00
728	host	49.0	<none>
747	host	49.0	c010000000001300
758	49.0	host	00000000000000000000000000000000000000
761	host	49.0	<none>
778	host	49.0	c108000000000100
785	49.0	host	00
790	host	49.0	<none>
801	host	49.0	c010000000001300
814	49.0	host	00000000000000000000000000000000000000
819	host	49.0	<none>
856	host	49.0	c108000000000100
865	49.0	host	00
870	host	49.0	<none>
881	host	49.0	c010000000001300
895	49.0	host	00000000000000000000000000000000000000
900	host	49.0	<none>
977	host	49.0	c108000000000100
984	49.0	host	00
989	host	49.0	<none>
1008	host	49.0	c010000000001300
1021	49.0	host	00000000000000000000000000000000000000
1024	host	49.0	<none>
1087	host	49.0	c108000000000100
1094	49.0	host	00
1099	host	49.0	<none>
1107	host	49.0	c010000000001300
1120	49.0	host	00000000000000000000000000000000000000
1125	host	49.0	<none>
1188	host	49.0	c108000000000100
1197	49.0	host	00
1200	host	49.0	<none>
1211	host	49.0	c010000000001300
1224	49.0	host	00000000000000000000000000000000000000
1230	host	49.0	<none>
1299	host	49.0	c108000000000100
1308	49.0	host	00
1311	host	49.0	<none>
1324	host	49.0	c010000000001300
1336	49.0	host	00000000000000000000000000000000000000
1341	host	49.0	<none>
1408	host	49.0	c108000000000100
1417	49.0	host	00
1420	host	49.0	<none>
1431	host	49.0	c010000000001300
1442	49.0	host	00000000000000000000000000000000000000
1448	host	49.0	<none>
1529	host	49.0	c108000000000100
1536	49.0	host	00
1541	host	49.0	<none>
1553	host	49.0	c010000000001300
1564	49.0	host	00000000000000000000000000000000000000
1569	host	49.0	<none>
1620	host	49.0	c108000000000100
1627	49.0	host	00
1632	host	49.0	<none>
1641	host	49.0	c010000000001300
1652	49.0	host	00000000000000000000000000000000000000
1657	host	49.0	<none>
1682	host	49.0	c108000000000100
1689	49.0	host	00
1694	host	49.0	<none>
1703	host	49.0	c010000000001300
1716	49.0	host	00000000000000000000000000000000000000
1721	host	49.0	<none>
1774	host	49.0	c108000000000100
1784	49.0	host	00
1789	host	49.0	<none>
1800	host	49.0	c010000000001300
1813	49.0	host	00000000000000000000000000000000000000
1816	host	49.0	<none>
1851	host	49.0	c108000000000100
1860	49.0	host	00
1865	host	49.0	<none>
1874	host	49.0	c010000000001300
1887	49.0	host	00000000000000000000000000000000000000
1892	host	49.0	<none>
1925	host	49.0	c108000000000100
1932	49.0	host	00
1937	host	49.0	<none>
1946	host	49.0	c010000000001300
1957	49.0	host	00000000000000000000000000000000000000
1962	host	49.0	<none>
1993	host	49.0	c108000000000100
2000	49.0	host	00
2005	host	49.0	<none>
2016	host	49.0	c010000000001300
2027	49.0	host	00000000000000000000000000000000000000
2032	host	49.0	<none>
2061	host	49.0	c108000000000100
2068	49.0	host	00
2073	host	49.0	<none>
2088	host	49.0	c010000000001300
2097	49.0	host	00000000000000000000000000000000000000
2102	host	49.0	<none>
2139	host	49.0	c108000000000100
2146	49.0	host	00
2151	host	49.0	<none>
2163	host	49.0	c010000000001300
2172	49.0	host	00000000000000000000000000000000000000
2177	host	49.0	<none>
2246	host	49.0	c108000000000100
2253	49.0	host	00
2258	host	49.0	<none>
2268	host	49.0	c010000000001300
2281	49.0	host	00000000000000000000000000000000000000
2286	host	49.0	<none>
2357	host	49.0	c108000000000100
2366	49.0	host	00
2369	host	49.0	<none>
2379	host	49.0	c010000000001300
2392	49.0	host	00000000000000000000000000000000000000
2397	host	49.0	<none>
2444	host	49.0	c108000000000100
2453	49.0	host	00
2456	host	49.0	<none>
2469	host	49.0	c010000000001300
2480	49.0	host	00000000000000000000000000000000000000
2485	host	49.0	<none>
2528	host	49.0	c108000000000100
2535	49.0	host	00
2540	host	49.0	<none>
2560	host	49.0	c010000000001300
2573	49.0	host	00000000000000000000000000000000000000
2576	host	49.0	<none>
2641	host	49.0	c108000000000100
2648	49.0	host	00
2651	host	49.0	<none>
2661	host	49.0	c010000000001300
2674	49.0	host	00000000000000000000000000000000000000
2679	host	49.0	<none>
2750	host	49.0	c108000000000100
2757	49.0	host	00
2762	host	49.0	<none>
2776	host	49.0	c010000000001300
2787	49.0	host	00000000000000000000000000000000000000
2792	host	49.0	<none>
2823	host	49.0	c108000000000100
2832	49.0	host	00
2835	host	49.0	<none>
2854	host	49.0	c010000000001300
2865	49.0	host	00000000000000000000000000000000000000
2870	host	49.0	<none>
2901	host	49.0	c108000000000100
2908	49.0	host	00
2913	host	49.0	<none>
2922	host	49.0	c010000000001300
2933	49.0	host	00000000000000000000000000000000000000
2938	host	49.0	<none>
2975	host	49.0	c108000000000100
2984	49.0	host	00
2987	host	49.0	<none>
3009	host	49.0	c010000000001300
3020	49.0	host	00000000000000000000000000000000000000
3025	host	49.0	<none>
3090	host	49.0	c108000000000100
3101	49.0	host	00
3104	host	49.0	<none>
3114	host	49.0	c010000000001300
3127	49.0	host	00000000000000000000000000000000000000
3132	host	49.0	<none>
3197	host	49.0	c108000000000100
3204	49.0	host	00
3209	host	49.0	<none>
3223	host	49.0	c010000000001300
3232	49.0	host	00000000000000000000000000000000000000
3237	host	49.0	<none>
3314	host	49.0	c108000000000100
3321	49.0	host	00
3326	host	49.0	<none>
3340	host	49.0	c010000000001300
3351	49.0	host	00000000000000000000000000000000000000
3356	host	49.0	<none>
3409	host	49.0	c108000000000100
3416	49.0	host	00
3421	host	49.0	<none>
3430	host	49.0	c010000000001300
3443	49.0	host	00000000000000000000000000000000000000
3449	host	49.0	<none>
3534	host	49.0	c108000000000100
3544	49.0	host	00
3547	host	49.0	<none>
3562	host	49.0	c010000000001300
3575	49.0	host	00000000000000000000000000000000000000
3580	host	49.0	<none>
3645	host	49.0	c108000000000100
3655	49.0	host	00
3660	host	49.0	<none>
3673	host	49.0	c010000000001300
3680	49.0	host	00000000000000000000000000000000000000
3685	host	49.0	<none>
3750	host	49.0	c108000000000100
3755	49.0	host	00
3760	host	49.0	<none>
3770	host	49.0	c010000000001300
3781	49.0	host	00000000000000000000000000000000000000
3786	host	49.0	<none>
3825	host	49.0	c108000000000100
3834	49.0	host	00
3839	host	49.0	<none>
3858	host	49.0	c010000000001300
3869	49.0	host	00000000000000000000000000000000000000
3874	host	49.0	<none>
3891	host	49.0	c108000000000100
3900	49.0	host	00
3905	host	49.0	<none>
3920	host	49.0	c010000000001300
3931	49.0	host	00000000000000000000000000000000000000
3936	host	49.0	<none>
3965	host	49.0	c108000000000100
3972	49.0	host	00
3977	host	49.0	<none>
3986	host	49.0	c010000000001300
3999	49.0	host	00000000000000000000000000000000000000
4004	host	49.0	<none>
4037	host	49.0	c108000000000100
4046	49.0	host	00
4051	host	49.0	<none>
4064	host	49.0	c010000000001300
4075	49.0	host	00000000000000000000000000000000000000
4080	host	49.0	<none>
4093	host	49.0	c108000000000100
4100	49.0	host	00
4105	host	49.0	<none>
4116	host	49.0	c010000000001300
4127	49.0	host	00000000000000000000000000000000000000
4132	host	49.0	<none>
4179	host	49.0	c108000000000100
4186	49.0	host	00
4191	host	49.0	<none>
4200	host	49.0	c010000000001300
4211	49.0	host	00000000000000000000000000000000000000
4217	host	49.0	<none>
4296	host	49.0	c108000000000100
4303	49.0	host	00
4308	host	49.0	<none>
4316	host	49.0	c010000000001300
4327	49.0	host	00000000000000000000000000000000000000
4332	host	49.0	<none>
4395	host	49.0	c108000000000100
4402	49.0	host	00
4407	host	49.0	<none>
4420	host	49.0	c010000000001300
4428	49.0	host	00000000000000000000000000000000000000
4433	host	49.0	<none>
4512	host	49.0	c108000000000100
4519	49.0	host	00
4524	host	49.0	<none>
4536	host	49.0	c010000000001300
4547	49.0	host	00000000000000000000000000000000000000
4552	host	49.0	<none>
4621	host	49.0	c108000000000100
4628	49.0	host	00
4633	host	49.0	<none>
4645	host	49.0	c010000000001300
4658	49.0	host	00000000000000000000000000000000000000
4663	host	49.0	<none>
4706	host	49.0	c108000000000100
4713	49.0	host	00
4718	host	49.0	<none>
4729	host	49.0	c010000000001300
4738	49.0	host	00000000000000000000000000000000000000
4743	host	49.0	<none>
4774	host	49.0	c108000000000100
4781	49.0	host	00
4786	host	49.0	<none>
4793	host	49.0	c010000000001300
4806	49.0	host	00000000000000000000000000000000000000
4811	host	49.0	<none>
4860	host	49.0	c108000000000100
4867	49.0	host	00
